,ID,Name,Age,OVA,Nationality,Club,BP,POT,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,PAC,SHO,PAS,DRI,DEF,PHY
5099,209289,Kévin Rodrigues,26,74,Portugal,SD Eibar,LM,75,79,65,73,80,42,70,65,51,76,76,70,67,68,72,78,58,60,64,60,50,55,65,72,70,50,65,64,75,76,68,59,75,72,70,60
6707,219712,S. Cristóforo,26,74,Uruguay,Fiorentina,CDM,75,52,50,58,76,36,64,59,35,78,72,64,46,74,68,81,73,70,69,65,68,75,76,60,70,59,70,72,75,72,54,58,67,68,72,68
4996,208535,A. Duncan,27,74,Ghana,Fiorentina,CDM,75,73,50,68,79,58,71,64,50,76,74,74,67,71,77,71,83,78,78,69,78,86,79,68,67,44,76,73,80,76,70,63,73,72,76,75
7637,224368,M. Doumbia,25,74,Mali,Stade de Reims,LM,75,69,68,42,73,66,77,66,62,66,75,82,82,81,68,84,73,70,74,62,68,48,28,70,67,58,64,43,37,44,82,69,69,77,38,63
5570,211927,Kwon Chang Hoon,26,74,Korea Republic,SC Freiburg,CAM,75,74,71,64,75,63,76,75,66,68,77,75,65,85,76,84,69,53,68,48,75,71,57,70,75,55,76,41,52,51,70,70,73,78,51,58
4910,208045,O. Tannane,26,74,Morocco,Vitesse,CAM,75,64,71,48,72,72,75,81,72,72,76,77,80,73,69,76,80,57,65,77,75,79,36,72,76,70,69,39,34,37,79,74,72,75,38,73
6027,214136,F. Meza,28,74,Colombia,Tigres U.A.N.L.,CB,75,44,45,75,67,25,59,30,40,69,67,59,64,60,67,55,45,84,67,76,23,71,78,57,46,33,75,75,75,77,62,40,55,62,76,73
6655,219455,J. Calleri,26,74,Argentina,CA Osasuna,ST,75,56,74,78,67,71,73,62,38,59,74,65,67,71,78,76,78,81,73,71,71,69,37,80,67,76,74,55,39,32,66,74,62,74,47,72
13739,246708,G. Masouras,26,74,Greece,Olympiacos CFP,LM,75,72,72,73,71,67,73,69,56,71,75,74,78,76,72,64,76,65,70,71,74,49,33,74,68,59,66,36,33,35,76,72,70,73,38,66
6180,215107,H. Villalba,25,74,Paraguay,Club Libertad,LM,75,58,66,60,67,70,79,69,55,60,76,93,93,92,73,88,85,52,73,56,74,68,38,72,68,64,66,44,52,30,93,72,64,80,45,62
2413,189410,D. Latza,30,74,Germany,1. FSV Mainz 05,CM,74,71,38,61,76,54,72,54,59,75,76,66,61,73,75,74,75,73,90,68,76,82,71,70,73,73,75,70,56,49,63,57,72,74,63,77
4914,208054,L. Fernández,28,74,Argentina,Independiente,ST,74,73,73,65,63,66,73,57,65,55,69,79,79,78,80,68,80,68,78,71,70,66,50,73,73,74,80,36,22,20,79,74,66,72,36,72
7612,224271,T. Goiginger,27,74,Austria,Austria,RM,74,75,70,54,70,59,76,73,64,65,74,90,87,76,68,70,69,57,80,54,60,54,37,70,74,62,65,34,28,37,88,67,71,75,35,61
977,166072,Danilo,36,74,Brazil,Bologna,CB,74,30,24,71,60,22,46,34,30,66,60,45,42,45,70,60,68,74,33,67,48,76,83,25,42,48,75,81,80,75,43,39,49,52,80,61
1682,181402,W. Vainqueur,30,74,France,Toulouse Football Club,CDM,74,62,50,61,73,56,71,52,45,69,71,64,65,59,72,70,75,71,79,79,62,80,76,56,64,32,74,70,72,68,65,57,66,70,71,79
293,103936,S. Pepe,32,74,Italy,Pescara,CAM,74,76,64,59,75,70,77,80,76,72,77,67,68,69,66,77,72,62,54,60,75,61,54,78,79,80,77,56,61,61,68,70,76,76,58,59
6348,216036,R. Delgado,30,74,Argentina,Club Atlético Colón,LB,74,79,53,69,73,51,77,81,67,73,73,82,78,79,75,82,81,73,82,81,69,59,69,69,69,65,75,61,69,67,80,63,74,76,66,76
13153,244727,L. Tawamba,29,74,Cameroon,Al Taawoun,ST,74,31,78,75,62,65,68,41,35,38,74,67,78,63,69,60,71,83,72,87,66,55,16,75,59,76,76,26,15,14,73,73,49,69,24,77
5045,208822,Marcos Júnior,27,74,Brazil,Yokohama F. Marinos,CAM,74,64,77,64,69,72,74,71,63,66,74,92,87,93,68,83,72,86,74,57,70,56,30,77,70,72,74,60,13,16,89,74,68,76,36,63
308,107647,H. Altıntop,34,74,Turkey,SV Darmstadt 98,CM,74,73,62,60,78,72,74,64,72,81,78,48,53,67,76,68,81,55,58,74,80,76,69,65,78,71,82,68,73,67,51,71,76,74,69,69
1942,184271,Y. Sankharé,29,74,Senegal,FC Girondins de Bordeaux,CM,74,68,70,77,76,68,74,63,50,71,74,58,67,68,74,55,76,69,76,78,66,82,71,71,72,59,77,69,74,71,63,70,71,72,72,78
6211,215227,J. Carli,33,74,Argentina,Club Atlético Aldosivi,CB,74,50,28,77,48,34,49,29,43,44,53,35,56,34,74,29,47,50,75,88,28,78,74,45,35,45,72,78,78,73,47,34,44,49,77,81
4262,203910,A. Knockaert,28,74,France,Fulham,RW,74,75,68,56,73,62,77,75,71,64,80,79,69,88,72,83,73,69,69,57,69,80,48,69,73,68,73,58,40,34,74,69,72,79,48,65
1504,177983,C. Zapata,33,74,Colombia,Genoa,CB,74,45,22,74,50,22,55,38,24,58,55,50,55,56,64,56,60,80,43,81,28,78,77,35,38,38,68,81,76,74,53,32,46,56,77,71
6543,217698,E. Belkalem,27,74,Algeria,US Orléans Loiret Football,CB,74,30,36,74,64,33,41,24,30,56,56,53,55,32,69,41,41,68,69,87,31,73,71,21,33,36,56,73,75,71,54,35,46,46,73,79
1502,177974,A. Aguilar,34,74,Colombia,Unión Magdalena,CDM,74,57,59,71,73,51,65,61,62,69,68,34,31,55,73,36,69,68,70,87,60,84,76,66,68,59,70,73,78,61,32,61,67,64,74,81
255,53014,Fernando Navarro,35,74,Spain,Deportivo de La Coruña,CB,74,70,36,65,69,58,64,71,62,65,69,56,60,60,78,68,68,69,68,74,62,76,77,59,56,33,81,81,78,79,58,50,66,66,78,73
265,53578,N. de Jong,32,74,Netherlands,1. FSV Mainz 05,CDM,74,55,39,63,74,51,65,53,50,74,71,60,62,67,70,83,70,77,74,75,54,87,73,57,62,58,75,72,74,76,61,51,66,68,72,77
5427,211119,Pedro Santos,32,74,Portugal,Columbus Crew SC,CAM,74,72,70,60,73,66,75,80,73,66,74,79,76,78,70,72,77,68,72,53,73,66,52,74,76,69,73,68,64,56,77,72,73,75,62,61
256,53050,E. Adebayor,35,74,Togo,Olimpia Asunción,ST,74,53,73,85,68,74,67,64,44,55,71,64,62,64,70,57,76,76,51,80,65,70,28,78,74,79,82,18,25,19,63,73,63,68,29,71
2322,188879,A. N'Diaye,30,74,Senegal,Al Shabab,CDM,74,66,58,59,74,46,68,51,32,73,73,67,71,66,68,57,74,68,73,89,68,82,73,64,71,54,71,73,71,71,69,63,68,69,71,83
257,53055,M. Ambrosini,36,74,Italy,Fiorentina,CB,74,66,56,84,76,60,62,56,48,76,72,50,50,60,70,55,72,92,55,75,66,84,82,68,74,68,,70,78,78,50,63,71,65,77,73
2345,189059,J. Livermore,30,74,England,West Bromwich Albion,CDM,74,65,59,66,74,60,66,68,58,72,74,64,61,65,74,72,72,69,87,76,68,79,70,60,65,57,78,75,72,66,62,63,69,69,71,79
5126,209440,Romarinho,29,74,Brazil,Al Ittihad,LW,74,64,73,66,71,67,78,67,71,63,74,86,86,88,73,84,69,61,78,64,65,38,28,74,65,66,68,30,22,23,86,70,67,78,30,62
3061,194138,A. Gray,29,74,England,Watford,ST,74,61,76,65,65,68,71,57,44,54,70,83,86,77,76,74,80,72,71,73,63,70,33,77,67,74,72,27,23,20,85,74,62,72,30,72
4912,208052,A. Yiadom B,28,74,Ghana,Reading,RB,74,64,52,59,65,41,74,62,42,55,72,84,83,77,69,67,57,76,82,70,51,76,70,65,64,49,68,68,74,75,83,53,62,73,70,75
1971,184501,M. Lang,29,74,Switzerland,Borussia Mönchengladbach,RB,74,71,68,78,73,65,63,45,55,73,73,62,55,64,67,57,71,81,75,77,66,69,73,67,55,59,71,74,77,76,58,68,67,66,75,75
8966,230381,Kaimo Lima,24,74,Brazil,Fluminense,CB,74,70,50,75,74,59,68,52,70,77,70,72,76,64,71,55,79,81,61,74,76,68,76,59,58,66,76,74,76,70,74,63,69,68,75,70
667,153296,Y. Gourcuff,31,74,France,Dijon FCO,CAM,74,72,62,69,78,69,75,78,76,77,76,50,51,72,72,68,75,52,61,67,72,66,50,70,80,74,76,47,52,43,51,68,77,75,51,65
193,45472,A. Hleb,35,74,Belarus,Krylya Sovetov Samara,CAM,74,73,62,44,78,67,79,77,69,70,78,64,65,68,67,66,65,55,52,59,66,58,33,70,77,63,71,28,31,27,65,64,75,76,31,57
269,53630,J. Van Damme,34,74,Belgium,Royal Antwerp FC,CB,74,59,50,73,61,63,56,57,58,59,66,54,65,49,74,34,77,63,78,90,62,93,73,62,55,63,81,73,64,70,60,60,59,58,70,86
215,49012,K. Kurányi,33,74,Germany,TSG 1899 Hoffenheim,ST,74,64,74,82,72,75,67,64,36,54,71,62,65,59,75,47,80,71,67,82,69,72,42,78,68,62,,22,29,25,64,74,65,67,34,76
1141,170320,L. De Silvestri,32,74,Italy,Bologna,RWB,74,81,64,78,77,58,74,65,62,71,75,70,70,65,75,58,74,73,71,75,70,71,74,74,65,52,72,74,74,74,70,67,73,73,74,73
10448,236108,Estevão Baldeiro,24,74,Brazil,Flamengo,CB,74,62,41,75,64,57,59,48,63,51,71,79,71,60,62,66,75,71,72,78,72,74,75,49,62,55,65,76,78,76,75,56,60,63,76,75
10449,236112,Douglas Armeira,28,74,Brazil,Coritiba,RB,74,70,54,59,69,53,69,63,47,52,67,70,74,71,68,76,71,71,83,67,50,82,70,57,56,58,66,77,74,72,72,57,63,69,72,74
671,154634,M. Pasqual,36,74,Italy,Empoli,LWB,74,86,46,60,78,62,72,82,76,77,77,67,69,76,72,75,72,77,68,66,62,66,72,66,70,50,78,70,73,72,68,56,78,74,71,67
13175,244791,P. Hrošovský,28,74,Slovakia,KRC Genk,CM,74,77,67,62,75,65,75,68,68,74,75,72,67,76,74,82,68,74,81,57,70,68,74,66,74,66,75,69,71,69,69,68,74,75,70,66
1499,177922,K. Grosicki,32,74,Poland,West Bromwich Albion,LM,74,72,71,69,68,72,73,73,78,71,74,85,78,79,70,74,74,52,63,66,75,43,48,73,75,65,68,36,28,20,81,72,71,74,38,60
157,25420,C. Pizarro,40,74,Peru,SV Werder Bremen,ST,74,62,77,75,77,73,76,76,65,74,77,35,34,65,78,54,75,61,34,77,73,69,31,81,79,81,87,35,33,24,34,76,73,74,37,64
3995,202316,T. Chandler,30,74,United States,Eintracht Frankfurt,CB,74,79,70,81,76,66,74,70,43,75,75,67,67,53,72,52,78,90,73,82,70,82,68,74,67,51,72,73,77,76,67,71,73,71,74,80
916,164464,B. Wright-Phillips,35,74,England,Los Angeles FC,ST,74,49,78,79,65,67,68,66,50,52,69,66,65,70,78,73,79,74,64,65,60,66,44,83,60,65,77,51,29,25,65,74,58,69,43,65
408,135883,S. Francis,34,74,England,Bournemouth,CB,74,71,25,72,71,26,64,51,61,69,69,49,52,51,71,55,70,71,54,77,62,75,75,52,62,44,67,74,75,74,51,44,67,64,74,71
412,136137,Elano,34,74,Brazil,Santos,CAM,74,75,72,59,76,74,72,78,80,77,77,60,66,67,71,74,78,62,51,56,80,69,61,67,79,74,,57,63,48,63,75,77,73,59,58
1202,172113,M. Fritzler,32,74,Argentina,Club Atlético Colón,CDM,74,43,41,67,76,45,62,59,44,71,70,54,50,66,65,57,65,76,69,73,57,83,76,63,68,51,70,72,75,72,52,51,65,65,73,74
156,24851,O. Mellberg,35,74,Sweden,FC København,CB,74,44,52,83,63,42,33,44,33,67,55,33,49,44,83,44,63,66,54,84,34,80,78,34,53,57,,75,77,63,42,49,55,44,76,75
2253,188270,B. Ecuélé Manga,31,74,Gabon,Dijon FCO,CB,74,59,27,76,62,28,44,35,25,61,62,48,48,31,71,34,58,81,71,83,34,80,77,23,51,46,67,71,75,74,48,35,56,49,74,79
155,24438,M. Yepes,39,74,Colombia,San Lorenzo de Almagro,CB,74,17,28,72,58,25,31,38,44,60,51,34,34,30,68,54,60,77,34,84,29,79,77,34,48,59,,79,79,71,34,36,46,40,77,70
1204,172124,M. Sow,33,74,Senegal,Gazişehir Gaziantep F.K.,ST,74,65,73,74,68,80,71,71,54,64,72,78,77,83,72,70,76,80,74,75,70,72,32,72,69,75,76,12,43,33,77,73,66,73,34,74
433,137785,R. Huth,32,74,Germany,Leicester City,CB,74,31,46,78,60,56,31,30,59,60,49,28,30,26,70,41,73,57,63,85,54,88,75,34,32,54,64,73,72,71,29,53,47,38,73,79
4726,206411,D. Garmash,30,74,Ukraine,Dynamo Kyiv,CAM,74,68,72,56,80,35,69,41,43,76,72,66,67,67,75,76,80,59,73,72,81,92,78,62,82,51,75,65,73,65,67,72,74,70,69,76
3520,199559,R. Inglese,28,74,Italy,Parma,ST,74,39,78,90,65,70,68,68,36,35,73,43,58,50,70,51,78,79,57,79,68,40,19,78,42,72,71,30,13,12,51,75,49,67,27,66
136,20176,Hélder Postiga,32,74,Portugal,Rio Ave FC,ST,74,60,72,77,63,77,71,62,54,50,75,70,72,76,75,66,77,86,78,72,62,72,33,83,68,73,,27,30,29,71,72,61,73,34,74
2019,185068,J. Russell,30,74,Scotland,Sporting Kansas City,RW,74,76,73,68,67,62,75,72,58,66,75,78,77,78,74,77,78,77,82,73,72,79,46,75,73,66,69,42,53,32,77,73,70,75,48,77
376,124635,M. Topal,34,74,Turkey,Medipol Başakşehir FK,CDM,74,49,58,70,72,54,65,60,54,65,70,57,51,63,80,61,77,80,74,75,70,66,86,56,58,68,70,70,77,73,54,64,62,67,76,73
1885,183871,N. Müller,32,74,Germany,Western Sydney Wanderers,CAM,74,72,75,53,73,78,81,65,61,64,74,73,71,84,73,81,71,73,66,55,65,68,48,74,71,73,75,36,46,37,72,72,70,79,43,61
381,130687,L. Andreasen,32,74,Denmark,Hannover 96,CB,74,49,66,79,73,69,68,56,61,68,74,55,52,65,76,62,83,82,69,78,72,85,76,67,69,74,,69,75,74,53,71,65,70,74,77
3522,199562,Ilie Sánchez,29,74,Spain,Sporting Kansas City,CDM,74,53,39,68,77,38,66,51,49,74,77,55,54,72,75,70,49,80,83,73,57,72,70,53,66,69,72,69,69,64,54,47,67,71,69,76
164,28765,Zé Roberto,40,74,Brazil,Palmeiras,CAM,74,78,69,65,77,66,77,79,74,73,82,68,62,71,71,75,71,53,58,58,73,68,69,72,73,76,,70,73,70,65,71,76,78,70,60
908,164082,Adriano,35,74,Brazil,KAS Eupen,LB,74,76,54,60,74,53,76,79,69,72,77,68,68,70,69,75,82,70,62,67,82,70,78,74,69,59,81,78,74,73,68,66,73,75,75,67
5146,209547,S. Mitrović,30,74,Serbia,RC Strasbourg Alsace,CB,74,38,22,76,63,28,51,29,33,57,61,33,34,39,72,39,59,70,70,83,38,82,73,31,43,35,70,75,76,73,34,34,50,53,75,79
2517,190059,S. Zuber,28,74,Switzerland,Eintracht Frankfurt,CAM,74,73,72,68,73,57,76,76,66,69,77,76,73,73,75,67,80,65,77,76,79,72,76,75,74,62,74,69,73,68,74,74,72,76,71,75
2904,193148,V. Le Goff,30,74,France,FC Lorient,LB,74,71,60,43,70,52,70,50,47,72,71,73,70,79,68,75,60,65,91,63,68,62,73,71,62,43,68,73,74,75,71,61,67,71,71,70
7562,224075,André Simões,30,74,Portugal,AEK Athens,CDM,74,68,65,70,74,60,73,68,47,74,75,76,78,75,70,74,75,77,84,66,72,61,74,59,74,65,74,72,75,76,77,68,71,74,74,70
5641,212214,A. Solari,28,74,Argentina,Racing Club,RM,74,70,66,55,73,37,73,75,74,68,72,87,91,87,69,74,65,86,76,73,63,70,62,68,72,58,72,53,54,62,89,63,72,74,56,74
3181,196150,T. Gutiérrez,35,74,Colombia,Junior FC,CF,74,70,75,70,75,74,77,67,63,69,81,57,52,71,74,74,75,81,49,77,69,80,25,81,76,67,80,21,26,20,54,74,72,77,28,71
880,163488,D. Limberský,36,74,Czech Republic,Viktoria Plzeň,LB,74,75,52,63,69,64,70,68,68,68,72,73,76,67,73,76,74,68,71,78,72,84,73,68,69,67,79,75,72,72,75,63,70,71,72,77
6816,220209,K. Lawrence,27,74,Jamaica,RSC Anderlecht,LB,74,68,36,64,66,41,68,72,67,61,69,86,86,78,67,72,67,83,73,74,43,75,70,61,46,33,59,69,74,74,86,45,62,69,71,74
2481,189795,Éder,32,74,Portugal,Lokomotiv Moscow,ST,74,46,74,74,66,72,68,63,41,52,69,73,78,69,76,61,81,64,69,83,61,83,47,75,73,73,76,37,33,28,76,73,60,68,41,79
1206,172175,K. Mirallas,31,74,Belgium,Royal Antwerp FC,LM,74,73,66,60,74,70,78,72,70,72,77,78,69,80,68,74,74,68,64,59,68,58,35,73,70,75,73,31,52,51,73,69,72,77,43,61
3537,199602,J. Guidetti,28,74,Sweden,Deportivo Alavés,ST,74,67,74,75,72,76,73,68,77,53,74,59,61,62,73,61,82,68,54,81,73,74,32,73,66,80,75,53,30,26,60,76,67,72,41,72
893,163699,S. Sessègnon,36,74,Benin,Gençlerbirliği SK,RM,74,76,70,70,72,69,80,73,69,71,75,72,76,84,71,88,68,71,71,72,64,76,72,73,79,76,77,46,68,66,74,69,74,79,62,73
891,163665,D. Congré,35,74,France,Montpellier HSC,CB,74,65,25,72,69,26,61,32,23,68,70,38,45,58,64,60,47,74,64,81,26,76,73,51,53,24,66,77,77,76,42,31,61,64,76,75
2056,186146,D. Welbeck,29,74,England,Watford,ST,74,69,75,76,67,68,73,61,62,64,72,73,79,72,70,62,77,80,52,73,63,75,32,74,70,70,75,47,38,33,76,72,67,72,43,69
4730,206424,M. Morozyuk,32,74,Ukraine,Çaykur Rizespor,RB,74,75,59,37,75,69,67,69,80,68,67,74,75,78,80,85,68,63,81,36,69,40,73,44,76,49,70,72,72,70,75,62,74,70,69,49
1561,178567,E. Pieters,31,74,Netherlands,Burnley,LB,74,72,32,73,73,34,70,70,56,64,71,64,67,62,72,62,51,74,73,77,36,84,73,64,65,59,66,74,74,73,66,40,69,69,74,77
3945,202061,J. Kurtić,31,74,Slovenia,Parma,CM,74,67,60,71,77,69,71,68,75,75,75,61,57,62,74,62,80,64,70,78,76,77,75,74,72,65,75,65,75,72,59,69,73,71,71,75
3943,202058,S. Anđelković,32,74,Slovenia,Padova,CB,74,41,25,70,56,37,46,39,31,50,56,62,69,52,72,52,59,76,56,89,58,72,73,27,31,36,66,72,74,73,66,40,45,51,73,77
3942,202054,Naldo,31,74,Brazil,Antalyaspor,CB,74,30,29,76,63,24,49,46,41,59,57,31,41,36,70,41,60,76,61,80,41,75,80,26,33,43,69,76,78,72,37,38,48,51,77,74
965,165531,I. Sosa,33,74,Argentina,Pachuca,RM,74,69,74,67,72,56,73,70,54,63,76,78,79,83,70,64,71,69,70,72,70,67,50,73,71,60,73,37,47,39,79,71,69,74,46,70
966,165536,G. Cabral,34,74,Argentina,Pachuca,CB,74,35,26,76,63,28,49,33,48,59,61,38,30,58,74,58,50,81,64,75,29,82,78,40,49,47,71,75,74,78,34,33,52,55,76,74
968,165560,M. Ruben,32,74,Argentina,Rosario Central,ST,74,60,74,74,66,67,68,64,56,58,73,77,75,71,75,71,75,85,69,75,66,65,46,77,68,74,73,36,40,27,76,72,63,70,42,72
947,165174,E. Polański,31,74,Poland,TSG 1899 Hoffenheim,CDM,74,67,63,67,72,71,63,74,69,70,71,61,51,61,74,63,79,78,74,77,81,88,74,68,68,79,75,71,75,74,56,71,70,66,73,79
3967,202151,K. Stafylidis,26,74,Greece,TSG 1899 Hoffenheim,LB,74,73,48,50,73,68,71,76,81,73,73,75,75,73,71,75,89,70,70,71,83,85,65,41,41,46,68,73,76,77,75,64,67,72,70,74
3555,199729,D. Royer,30,74,Austria,New York Red Bulls,LM,74,67,74,57,69,64,76,71,61,64,75,83,80,84,66,76,75,74,81,70,71,71,43,76,69,72,74,57,43,40,81,73,68,76,48,73
2965,193468,L. Benito,28,74,Switzerland,FC Girondins de Bordeaux,LB,74,71,43,67,69,44,65,58,56,65,70,67,74,74,71,56,62,78,86,75,54,69,75,63,67,56,69,71,70,73,71,51,67,67,71,77
952,165239,S. Nasri,32,74,France,RSC Anderlecht,CAM,74,73,70,42,74,72,74,77,74,72,77,62,56,74,66,78,73,47,43,59,72,33,37,74,74,74,80,34,37,44,59,72,74,75,37,49
3210,196942,Iñigo Pérez,32,74,Spain,CA Osasuna,CDM,74,76,61,62,76,59,59,80,79,77,76,62,57,68,67,66,73,76,78,70,71,70,71,57,76,49,64,69,75,73,59,65,77,66,71,72
1407,176957,Felipe Santana,29,74,Brazil,Kuban Krasnodar,CB,74,33,37,91,52,26,36,30,21,49,42,77,82,44,73,34,69,79,64,78,38,77,64,40,33,53,,76,78,80,80,44,41,40,76,74
3950,202088,F. Klaus,27,74,Germany,VfL Wolfsburg,RM,74,72,69,45,74,60,80,69,69,44,77,80,72,77,74,77,75,67,76,67,62,63,34,73,72,62,68,42,33,29,76,68,68,78,37,68
139,20556,Alan,36,74,Brazil,SC Braga,CAM,74,76,68,60,79,65,80,81,79,78,82,54,52,64,74,65,79,68,50,65,75,64,43,74,78,84,82,40,37,31,53,73,78,78,41,61
1620,179875,D. N'Doye,34,74,Senegal,FC København,ST,74,51,73,73,67,67,69,68,67,44,72,67,70,71,70,65,79,74,70,86,67,75,37,75,66,62,74,40,34,24,69,72,60,70,39,79
151,23461,W. Samuel,37,74,Argentina,FC Basel 1893,CB,74,36,31,71,66,30,32,39,38,67,60,47,33,39,67,66,62,75,28,85,31,66,86,38,50,53,,74,74,72,39,39,54,45,76,66
4091,202882,T. Bifouma,28,74,Congo,Shenzhen FC,RW,74,67,72,58,67,62,77,50,45,56,75,93,93,92,72,73,81,91,67,71,64,64,34,71,65,56,62,24,23,19,93,71,63,77,29,70
844,162329,K. El Ahmadi,35,74,Morocco,Al Ittihad,CDM,74,58,52,60,74,61,71,67,48,75,74,62,59,72,71,69,74,67,81,75,65,78,72,64,69,69,79,67,75,72,60,61,68,72,70,77
2237,188135,Juanfran B,31,74,Spain,Alanyaspor,RB,74,72,57,69,73,53,71,64,60,67,79,70,78,73,71,69,79,74,74,70,80,68,69,67,63,59,68,67,73,73,74,66,69,74,70,71
7247,222560,T. Zwane,30,74,South Africa,South Africa,CAM,74,61,69,39,76,45,80,63,70,70,76,80,77,61,75,75,59,55,78,67,63,29,35,74,80,64,66,68,47,39,78,65,72,76,49,62
1396,176894,Mossoró,36,74,Brazil,Göztepe SK,CAM,74,71,68,60,77,72,73,77,69,72,78,74,65,72,72,90,75,74,59,47,75,87,42,72,77,66,76,44,42,47,69,71,75,75,45,59
943,164994,J. Błaszczykowski,34,74,Poland,Wisła Kraków,RM,74,74,67,48,74,73,75,77,69,67,77,72,71,77,77,79,75,67,63,69,68,62,59,73,74,75,84,61,56,59,71,70,73,76,58,66
935,164852,Bruno Gama,29,74,Portugal,AD Alcorcón,RM,74,81,65,46,73,66,78,83,76,78,74,76,71,77,71,69,65,59,65,57,75,58,42,74,61,71,76,35,46,38,73,68,74,76,41,59
1570,178625,Mosquera,32,74,Spain,SD Huesca,CDM,74,61,58,65,73,51,65,79,70,71,71,63,34,69,71,62,61,70,83,68,62,74,74,70,73,51,71,73,72,66,47,59,70,67,71,73
1725,182168,A. Ranocchia,32,74,Italy,Inter,CB,74,45,22,77,67,24,58,30,34,65,67,31,33,39,65,31,59,66,51,74,31,68,79,32,56,34,69,75,80,76,32,32,57,58,78,67
3198,196884,Y. Del Valle,26,74,Venezuela,Rio Ave FC,RM,74,69,69,60,69,58,81,70,56,67,73,83,86,78,73,74,81,62,67,64,77,49,52,72,65,69,67,30,41,23,85,73,67,78,40,62
1567,178614,Varela,32,74,Cape Verde,PAOK,CB,74,59,43,75,56,38,55,51,47,51,61,68,65,58,68,72,45,81,72,87,42,78,76,44,52,54,68,73,76,73,66,44,54,59,75,81
4046,202646,Álex Martínez,29,74,Spain,Granada CF,LB,74,78,51,59,72,40,70,65,71,65,73,73,76,72,57,63,77,70,89,55,62,68,70,62,53,55,64,60,74,72,75,59,68,70,67,67
4636,205943,V. Chiricheș,30,74,Romania,Sassuolo,CB,74,46,56,73,68,70,59,46,25,70,66,59,59,56,73,66,75,69,56,68,69,75,77,36,46,51,69,78,78,76,59,62,56,62,77,66
3155,195361,Javi López,34,74,Spain,RCD Espanyol,RB,74,73,55,65,76,49,68,67,52,64,71,64,64,66,75,69,57,71,69,67,43,84,73,61,65,56,81,60,75,79,64,53,70,69,70,71
3156,195363,J. Bruma,28,74,Netherlands,VfL Wolfsburg,CB,74,40,38,81,66,34,59,43,66,65,56,52,75,50,67,33,84,61,55,90,65,80,70,46,58,39,70,74,75,72,65,53,58,56,74,78
1155,170719,D. Buonanotte,32,74,Argentina,Universidad Católica,CAM,74,72,62,36,71,61,77,78,76,70,77,81,85,92,70,95,69,64,55,29,77,30,25,69,72,71,68,35,31,18,83,67,72,79,30,37
3027,193862,André Pinto,29,74,Portugal,Al Fateh,CB,74,34,34,78,58,29,44,28,31,58,56,45,43,31,69,32,41,32,61,88,38,75,77,21,47,38,59,75,77,75,44,36,48,47,76,76
8583,229071,K. Onisiwo,28,74,Austria,1. FSV Mainz 05,ST,74,71,73,66,64,69,77,69,56,63,74,75,75,66,74,64,80,55,74,80,62,75,49,76,66,44,71,58,53,60,75,71,66,74,56,76
2048,186119,M. Stoch,30,74,Slovakia,PAOK,RW,74,70,72,35,72,70,77,79,74,69,77,85,80,87,60,86,85,62,67,44,80,59,33,70,74,71,68,52,30,22,82,76,72,78,37,54
7090,221750,André Geraldes,29,74,Portugal,Sporting CP,RB,74,72,36,60,72,35,64,60,36,62,68,77,80,69,70,72,57,82,80,71,32,69,71,63,58,48,64,72,73,71,79,41,65,66,71,73
3109,194806,C. Dawson,30,74,England,Watford,CB,74,65,49,80,65,20,57,45,24,62,67,55,62,62,70,50,57,82,72,77,27,76,75,56,51,66,68,76,73,75,59,46,59,61,75,76
1101,169527,V. Anichebe,28,74,Nigeria,Sunderland,ST,74,69,72,72,69,71,75,31,34,54,69,66,76,56,75,44,77,56,67,87,69,73,43,73,68,65,70,44,42,41,72,72,63,70,46,78
6649,219411,J. Izquierdo,27,74,Colombia,Brighton & Hove Albion,RW,74,72,64,60,69,56,80,75,34,61,77,86,79,91,69,85,79,63,54,52,75,27,39,71,70,58,72,49,21,30,82,69,67,80,38,48
3112,194847,Ryan Mendes,27,74,Cape Verde,Kayserispor,RM,74,68,68,43,71,53,79,66,67,64,72,89,84,90,72,77,63,50,73,58,60,45,26,71,66,65,68,28,28,23,86,65,68,78,29,59
3725,200752,Juan Jesus,29,74,Brazil,Roma,CB,74,60,20,74,58,17,58,44,36,56,55,72,73,65,73,58,62,83,69,73,35,80,76,35,34,37,73,76,77,75,73,33,52,59,76,74
3728,200759,J. Schlupp,27,74,Ghana,Crystal Palace,LM,74,69,66,64,72,64,75,62,34,58,72,83,88,79,71,76,77,75,78,78,61,70,69,74,69,67,65,69,70,71,86,68,66,74,69,76
116,12695,A. Friedrich,33,74,Germany,Chicago Fire,CB,74,44,33,81,66,29,52,30,45,63,58,63,68,52,70,60,71,71,52,76,47,73,61,34,51,62,,75,76,74,66,45,55,55,73,69
1157,170770,José Enrique,30,74,Spain,Real Zaragoza,LB,74,78,43,68,73,44,68,66,58,68,71,72,75,62,67,66,72,76,70,71,54,77,70,59,66,55,80,69,77,76,74,52,71,68,72,72
